Cycle,Capacity_Ah,SoH,R0_True,Rct_True,Cdl_True
1,2.05210892034843,1.0010287416333805,0.050581598894702554,0.08429816230596496,0.49563712845769914
2,2.031344503107648,0.9908997576134868,0.051620442662819024,0.08900048849035513,0.5066765912214771
3,2.0823823161395083,1.01579625177537,0.04837397046126095,0.07464354780964437,0.49443234070850184
4,2.043477681928053,0.9968183814283186,0.04889249751077836,0.06780279825184213,0.4912980269595499
5,2.0212294209373125,0.985965571188933,0.0509682575909238,0.09223226877454081,0.5157181732955443
6,2.0647537163535654,1.0071969348066174,0.04739862553252046,0.06548194468679072,0.49290793278670253
7,2.056091143117316,1.00297128932552,0.04823436810672576,0.07891878759342431,0.515505341555246
8,2.021013107738833,0.9858600525555283,0.04747509900465846,0.07753176806268752,0.48729071325851336
9,2.044655514267573,0.9973929337890601,0.05120573906621691,0.06495798874904411,0.509175120232251
10,2.0454647832596287,0.9977876991510385,0.05086828117611284,0.08871471541997186,0.5109721647386811
11,2.041171295463174,0.995693314860085,0.05082256304901019,0.08768001961553401,0.4832706783833066
12,2.0396736673431843,0.994962764557651,0.05215340701054384,0.08546457244197507,0.5275357432315734
13,2.0224775809391042,0.9865744297263924,0.05180736011838081,0.089433917262449,0.48522716751919126
14,2.0289852975584046,0.9897489256382462,0.0497721172704219,0.06847423823303375,0.5081181964117548
15,2.061628884993077,1.0056726268258913,0.046440047072361615,0.09044781019166324,0.5253879815728255
16,2.044205243439159,0.9971732894825166,0.05039638120428927,0.08100785732671156,0.45440132667193583
17,2.0326133053183795,0.9915186855211608,0.04930302433523012,0.09269310591816439,0.476219977811037
18,2.030528318888553,0.9905016189700259,0.05073267602930907,0.08308558179344651,0.514747080864295
19,1.9987699816094104,0.9750097471265418,0.05272631613870919,0.0706418474527809,0.468834516091574
20,2.0097058485525947,0.9803443163671195,0.045920625753372614,0.08716568058866582,0.47646557597367156
21,2.036732603642858,0.9935280993379797,0.04988443757222699,0.06528937252452197,0.5017212790397103
22,2.0206805427614283,0.9856978257372822,0.05059979997466574,0.05751972600877832,0.4950725080390792
23,2.007720362885705,0.9793757867735147,0.05180109515642136,0.09749579037917958,0.47592747656464757
24,2.0155950169234713,0.9832170814260837,0.04912232634525819,0.08301246594973784,0.5287111167357752
25,2.023297012545654,0.9869741524612948,0.05375972069657229,0.07159437413234773,0.5024450125439291
26,1.983013612869144,0.9673237135947045,0.05314404041346491,0.06478496795550265,0.5137253583429782
27,2.0158451239742283,0.9833390848654773,0.04794517673181236,0.07460318770542748,0.5137244669379757
28,2.020351187372793,0.9855371645720943,0.05053035696935574,0.06264234328631699,0.47905447348057456
29,2.012714383224698,0.9818118942559504,0.052802423111922944,0.08991341558688791,0.4946773564362557
30,1.9873476257971472,0.9694378662425109,0.05217330574991231,0.09562007955182139,0.5032954858146015
31,2.001810465701666,0.9764929100983737,0.04941599316880984,0.07932635823496928,0.5201481869149497
32,1.999285125501696,0.9752610368300957,0.05018373135650757,0.07877709372034415,0.45759008422817027
33,1.9918190958976572,0.9716190711695889,0.05388868962357298,0.09581083597211451,0.5268475434603388
34,1.974645237110522,0.9632415790783035,0.0550701653837789,0.08466607551548284,0.5179643853105242
35,1.9727672903567839,0.9623255074911142,0.05193141200827196,0.07627678985904174,0.5245699482547848
36,1.9734773075048695,0.9626718573194486,0.053576228294734046,0.079174096900802,0.49714483750527166
37,1.965083337530625,0.9585772378198171,0.04986847319116276,0.0795415342530655,0.47815523627696294
38,1.9733506229440951,0.9626100599727294,0.05370434953819363,0.06826109399687491,0.5032688607101303
39,1.9522294640349158,0.9523070556267883,0.051542391537444186,0.06094744394998077,0.4755341692220356
40,1.9748426995138475,0.9633379022018769,0.05463615999884898,0.08611388685828429,0.5089750025801959
41,1.960423442085511,0.9563041180904932,0.05448391775821785,0.08981714801463433,0.5220218272047181
42,1.9682521125162067,0.9601229817152228,0.05180909741781962,0.08777639549730437,0.49902866104701454
